-16.9,1
-35.5,0
-5,0
-54.8,1
-50.1,0
-37.9,1
-53.8,0
-48.1,0
-44.7,0
-39.8,0
-45.8,0
-51.9,0
-28.9,0
-32.2,0
-5.9,0
-28.9,0
-9,0
-23.1,0
-29,1
-22,0
-28.9,0
-46,0
-47.2,0
-46.1,0
-43.2,0
-46,0
-58.5,0
-47.1,0
-17.1,0
-10.3,0
-10.3,0
-10.1,0
-10.3,0
-78.2,0
-57.4,0
-17.9,0
-16.9,0
-19.1,0
-27,0
-19.1,0
-39.9,0
-53.1,0
-22,1
-54.1,1
-23.1,0
-21.9,1
-22,1
-20.7,0
-13.1,1
-37.8,1
-41.1,0
-37.8,1
-36,1
-32.1,1
-41.1,1
-3.2,1
-37.8,1
-5.8,0
-8.8,0
-11,0
-9.2,0
-5.1,0
-10,0
-12.1,0
-52.9,0
-21.9,1
-53.9,0
-23,0
-21.8,0
-24.9,1
-6.1,0
-21.9,0
-20.6,0
-39.9,1
-21.1,0
-5.2,1
-27.2,1
-27.2,0
-26.1,1
-26.1,1
